"X.2","X.1","X","sect_triris","district","morph","colour","colour_simplif","extleft_fing","medleft_fing","intleft_fing","backleft_fing","extright_fing","medright_fing","intright_fing","backright_fing","left_tot","right_tot","total","mutilation","age","weather","nbindiv_checked","nbindiv_mutil","abund_sect","area","area_km","greenspace_area","greenspace_dens","dovecote","noise_pollut","humpop_2015","nb_passers","bakeries","fabric_manuf","haircut","nb_closedmarkets","nb_openmarkets","nb_biomarkets","nb_foodmarkets","openmarkets","foodmarkets","hrs_closedmarkets","hrs_openmarkets","hrs_biomarkets","tot_openhours","airqual_pca1","recyclwaste","nonrecyclwaste","waste","humpop_dens","human_flow","openmarkets_dens","foodmarkets_dens","hrsarea_openmarkets","hrsarea_totopenhrs","bakeries_dens","fabricmanuf_dens","hairdres_dens","waste_dens","prop_mutil","ID"
31,31,31,4,2,NA,"Bpbr","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,31
32,32,32,4,2,1,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,32
33,33,33,4,2,3,"B","B",1,1,1,1,0,1,1,1,4,3,7,1,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,33
34,34,34,4,2,3,"B","B",0,0,1,0,1,0,0,0,1,1,2,1,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,34
35,35,35,4,2,3,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,35
36,36,36,4,2,3,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,36
37,37,37,4,2,4,"B","B",0,0,1,0,0,0,1,1,1,2,3,1,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,37
38,38,38,4,2,3,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,38
39,39,39,4,2,1,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,39
40,40,40,4,2,3,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,40
